Algorithm Running Time(us),,"n=10, m=18","n=100, m=305","n=200, m=747","n=300, m=1195","n=400, m=1726","n=500, m=2207","n=600, m=2782","n=700, m=3304","n=800, m=3760","n=900, m=4430","n=1000, m=4989","n=2000, m=10750","n=4000, m=23689","n=6000, m=37439","n=8000, m=51322","n=16000, m=111022","n=32000, m=237805"
Dijkstra,1,13.7,196,384,618,865,1071,1359,1718,1595,2125,2307,3985,8435,11250,14764,28445,58770
,2,12.0,148,323,545,645,798,1226,1133,1395,1772,1955,4007,8149,10920,15218,28517,59356
,3,14.5,180,275,527,756,831,1144,1471,1534,1810,2035,4080,7852,11860,13371,27394,60497
,Average,13.4,174,327,563,755,900,1243,1440,1508,1902,2099,4024,8145,11343,14451,28118,59541
Bellman-Ford,1,18,1514,6422,14518,23784,36245,49771,63300,76054,93347,107692,388334,1623007,3780736,6873508,29997582,
,2,12,1363,6028,12125,25731,33700,44491,58476,71061,88610,105057,386678,1613468,3872848,6867021,31141636,
,3,11,1900,5526,13195,19111,32952,45261,58701,70344,88613,107159,385871,1615542,3837243,7040913,31216585,
,Average,13,1592,5992,13279,22875,34299,46507,60159,72486,90190,106636,386961,1617339,3830275,6927147,30785267,
Johnson,1,176,18103,57426,120800,210868,317544,457613,634540,853725,1087476,1366718,5821265,26408761,66309384,119813195,535945372,
,2,123,15755,57368,125163,205191,313699,452881,627181,850839,1080775,1362056,5816747,26294911,66123339,120362011,535547239,
,3,126,14489,57755,119069,197818,313224,452300,629065,847445,1090939,1374030,6015472,26393436,65754398,120309474,535029404,
,Average,141,16115,57516,121677,204625,314822,454264,630262,850669,1086396,1367601,5884494,26365702,66062373,120161560,535507338,
Floyd-Warshall,1,27,15316,103327,295021,660535,1280925,2173209,3493248,5222661,7465135,10526996,87596671,691814914,2908116936,,,
,2,27,17067,99352,277856,663114,1271741,2177350,3487943,5259826,7486598,10367140,87701000,691658516,2426916377,,,
,3,23,19064,97878,290187,647450,1272692,2175481,3494359,5216244,7505515,10428116,84639177,691392465,3340820018,,,
,Average,25,17149,100185,287688,657033,1275119,2175346,3491850,5232910,7485749,10440750,86645616,691621965,2891951110,,,
MinSumProduct,1,167,583441,8172896,40171738,123458856,290176104,595229980,,,,,,,,,,
,2,228,582371,8158537,40576927,124216297,289908883,598162789,,,,,,,,,,
,3,225,585259,8269112,40900100,124253282,291572364,597886852,,,,,,,,,,
,Average,206,583690,8200181,40549588,123976145,290552450,597093207,,,,,,,,,,
